Traditional Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,,,,
2024-25,PHX,22,36,27.7,9.8,19.1,51.2,2.4,5.9,41.1,5.8,6.9,83.6,0.5,6,6.5,3.8,3.3,0.8,1.3,1.8,44.3,3,0,-1,,,,
2023-24,PHX,75,37.2,27.1,10,19.1,52.3,2.2,5.4,41.3,4.8,5.6,85.6,0.5,6.1,6.6,5,3.3,0.9,1.2,1.8,45.7,14,1,3.9,,,,
2022-23,TOT,47,35.6,29.1,10.3,18.3,56,2,4.9,40.4,6.5,7.1,91.9,0.4,6.3,6.7,5,3.3,0.7,1.4,2.1,47.7,5,1,5.5,,,,
2022-23,PHX,8,33.7,26,9.1,16,57,2.8,5.1,53.7,5,6,83.3,0.4,6,6.4,3.5,2.5,0.3,1.3,0.9,40.9,0,0,8.6,,,,
2022-23,BKN,39,36,29.7,10.5,18.8,55.9,1.8,4.8,37.6,6.8,7.3,93.4,0.4,6.4,6.7,5.3,3.5,0.8,1.5,2.4,49.1,5,1,4.8,,,,
2021-22,BKN,55,37.2,29.9,10.5,20.3,51.8,2.1,5.5,38.3,6.8,7.4,91,0.5,6.9,7.4,6.4,3.5,0.9,0.9,2.1,50.3,18,4,4.9,,,,
2020-21,BKN,35,33.1,26.9,9.3,17.2,53.7,2.4,5.4,45,6,6.8,88.2,0.4,6.7,7.1,5.6,3.4,0.7,1.3,2,46.3,12,0,8,,,,
2018-19,GSW,78,34.6,26,9.2,17.7,52.1,1.8,5,35.3,5.7,6.5,88.5,0.4,5.9,6.4,5.9,2.9,0.7,1.1,2,45,16,2,8.4,,,,
2017-18,GSW,68,34.2,26.4,9.3,18,51.6,2.5,6.1,41.9,5.3,5.9,88.9,0.5,6.4,6.8,5.4,3,0.7,1.8,2,47,15,2,5.2,,,,
2016-17,GSW,62,33.4,25.1,8.9,16.5,53.7,1.9,5,37.5,5.4,6.2,87.5,0.6,7.6,8.3,4.8,2.2,1.1,1.6,1.9,48,23,1,11.5,,,,
2015-16,OKC,72,35.8,28.2,9.7,19.2,50.5,2.6,6.7,38.7,6.2,6.9,89.8,0.6,7.6,8.2,5,3.5,1,1.2,1.9,48.5,27,1,9,,,,
2014-15,OKC,27,33.8,25.4,8.8,17.3,51,2.4,5.9,40.3,5.4,6.3,85.4,0.6,6,6.6,4.1,2.7,0.9,0.9,1.5,42.1,5,0,6.2,,,,
2013-14,OKC,81,38.5,32,10.5,20.8,50.3,2.4,6.1,39.1,8.7,9.9,87.3,0.7,6.7,7.4,5.5,3.5,1.3,0.7,2.1,51.6,27,3,6.3,,,,
2012-13,OKC,81,38.5,28.1,9,17.7,51,1.7,4.1,41.6,8.4,9.3,90.5,0.6,7.3,7.9,4.6,3.5,1.4,1.3,1.8,49.3,19,3,8.9,,,,
2011-12,OKC,66,38.6,28,9.7,19.7,49.6,2,5.2,38.7,6.5,7.6,86,0.6,7.4,8,3.5,3.8,1.3,1.2,2,46.6,18,0,5.6,,,,
2010-11,OKC,78,38.9,27.7,9.1,19.7,46.2,1.9,5.3,35,7.6,8.7,88,0.7,6.1,6.8,2.7,2.8,1.1,1,2,43.5,14,0,3.4,,,,
2009-10,OKC,82,39.5,30.1,9.7,20.3,47.6,1.6,4.3,36.5,9.2,10.2,90,1.3,6.3,7.6,2.8,3.3,1.4,1,2.1,47.4,25,0,5.3,,,,
2008-09,OKC,74,39,25.3,8.9,18.8,47.6,1.3,3.1,42.2,6.1,7.1,86.3,1,5.5,6.5,2.8,3,1.3,0.7,1.8,40.3,15,0,-6.8,,,,
2007-08,SEA,80,34.6,20.3,7.3,17.1,43,0.7,2.6,28.8,4.9,5.6,87.3,0.9,3.5,4.4,2.4,2.9,1,0.9,1.5,32,1,0,-8.2,,,,
Advanced Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE,,,,,,,,,,,
2024-25,PHX,22,36,113.1,114.2,-1.2,18.5,1.15,13,1.5,16,9.2,11.3,57.5,62.6,31,99.84,14.8,,,,,,,,,,,
2023-24,PHX,75,37.2,118.1,113.3,4.8,21.3,1.55,16.9,1.6,15.5,8.9,10.9,58.1,62.6,28.3,100.24,14.8,,,,,,,,,,,
2022-23,TOT,47,35.6,117.1,110.3,6.8,22.8,1.51,17,1.2,16.6,9.6,11.3,61.4,67.7,30.5,99,18.5,,,,,,,,,,,
2022-23,PHX,8,33.7,117.7,107,10.7,17.1,1.4,14.3,1.2,17,9.7,10.2,65.6,69.7,27.3,97.79,18.4,,,,,,,,,,,
2022-23,BKN,39,36,117,111,6.1,23.9,1.52,17.4,1.1,16.5,9.6,11.4,60.7,67.3,31.1,99.23,18.6,,,,,,,,,,,
2021-22,BKN,55,37.2,116.2,109.7,6.5,27.4,1.84,19.1,1.5,16.6,9.7,10.4,57,63.4,31,101.17,18,,,,,,,,,,,
2020-21,BKN,35,33.1,121.7,111.1,10.7,25.2,1.63,19.1,1.2,18,10.5,11.8,60.8,66.6,30.3,103.03,17.2,,,,,,,,,,,
